country,new,all,cure,death
中国,75,94038,87777,4753
美国,235272,14772535,8658882,285550
印度,36595,9571559,9016289,139188
巴西,50434,6487084,5792539,175270
俄罗斯,27078,2382012,1872214,41730
法国,11432,2321703,173986,54859
西班牙,5554,1699145,196958,46252
英国,16377,1694800,3637,60714
意大利,24110,1688939,872385,58852
阿根廷,6899,1454631,1281955,39512
哥伦比亚,9285,1352607,1240990,37467
德国,11869,1157514,828776,18340
墨西哥,11030,1144643,843231,108173
波兰,13236,1041846,666413,19359
伊朗,13341,1016835,708106,49695
秘鲁,3470,967075,901544,36076
乌克兰,15456,808828,414347,13641
南非,4932,805804,740450,21963
土耳其,32736,765997,423142,14509
比利时,2605,584857,33687,17033
印度尼西亚,5803,563680,466178,17479
伊拉克,1855,560622,489772,12387
智利,3237,557135,531543,15558
荷兰,169,553025,7189,9703
捷克,4743,542406,473994,8738
罗马尼亚,8062,500273,390212,12052
孟加拉,2252,473991,390951,6772
菲律宾,932,436345,399345,8509
巴基斯坦,3262,410072,350305,8260
加拿大,5957,406186,323430,12519
摩洛哥,3996,372620,323814,6136
沙特阿拉伯,234,358336,348238,5940
瑞士,4382,344497,260600,5293
以色列,341,342101,327162,2896
葡萄牙,4935,312553,234038,4803
奥地利,3815,297245,243775,3651
瑞典,6269,278912,4917,7067
尼泊尔,1272,238861,221847,1567
匈牙利,6212,238056,68525,5513
约旦,3116,234353,177195,2960
塞尔维亚,7782,206940,15913,1834
厄瓜多尔,598,196482,169804,13696
哈萨克斯坦,1044,177386,149435,2482
阿联酋,1311,174062,157828,586
巴拿马,2388,173607,150051,3154
保加利亚,3614,158807,59677,4650
日本,2459,158387,131020,2210
格鲁吉亚,5068,152704,126904,1425
多米尼加,671,146680,116169,2343
玻利维亚,192,145186,124015,8982
科威特,343,143917,139148,886
哥斯达黎加,1180,143685,95789,1773
白俄罗斯,1774,143383,120571,1190
克罗地亚,3955,143370,117148,2032
亚美尼亚,1184,139692,114990,2277
卡塔尔,166,139643,136872,239
阿塞拜疆,4267,138000,83800,1551
黎巴嫩,1478,134295,86019,1078
危地马拉,752,124805,113273,4224
阿曼,0,124329,115866,1435
埃及,427,117583,103191,6732
摩尔多瓦,1522,113829,98276,2384
斯洛伐克,2184,113392,77142,957
希腊,1648,113185,23074,2804
