country,new,all,cure,death
中国,83,94372,87966,4753
美国,173861,15159529,8855593,288906
印度,32981,9677203,9139901,140573
巴西,26363,6603540,5866657,176941
俄罗斯,27798,2466961,1939393,43122
法国,11022,2345648,175220,55247
意大利,18887,1728878,913494,60078
英国,17371,1727755,3736,61342
西班牙,5554,1699145,196958,46252
阿根廷,3278,1463110,1294692,39770
哥伦比亚,8854,1371103,1257410,37808
德国,10910,1194550,868285,19000
墨西哥,7455,1175850,866186,109717
波兰,4421,1067870,722446,20181
伊朗,10827,1051374,742955,50594
秘鲁,1828,972688,907654,36231
乌克兰,8985,843898,440899,14208
土耳其,30402,828295,431253,14900
南非,4116,814565,744780,22206
比利时,1814,591756,33687,17320
印度尼西亚,5754,581550,479202,17867
荷兰,133,566628,7300,9768
伊拉克,1680,564200,493567,12432
智利,1714,560382,534789,15628
捷克,1109,546833,478094,8902
罗马尼亚,5231,513576,405612,12320
孟加拉,2198,479743,398623,6874
菲律宾,1565,441399,408702,8572
巴基斯坦,3795,420294,356542,8398
加拿大,6305,418848,334375,12688
摩洛哥,2919,379657,331301,6245
沙特阿拉伯,187,358713,348879,5965
瑞士,9809,354306,260600,5407
以色列,1433,345661,329586,2917
葡萄牙,9921,322474,243055,4963
奥地利,2263,305693,256811,3897
瑞典,0,278912,4917,7067
匈牙利,3870,254148,74283,5984
尼泊尔,1014,241995,227433,1614
约旦,2576,240089,187444,3056
塞尔维亚,5809,219652,15913,1949
厄瓜多尔,607,197998,174188,13778
哈萨克斯坦,745,180089,151755,2488
巴拿马,1812,177719,152890,3193
阿联酋,1148,177577,159711,594
格鲁吉亚,2501,164976,137499,1540
日本,1484,164379,135121,2277
保加利亚,577,161421,62246,4797
克罗地亚,1886,152239,127882,2233
多米尼加,798,148453,116873,2345
白俄罗斯,1878,147157,124774,1207
阿塞拜疆,4356,146679,88497,1632
玻利维亚,68,145560,124799,8995
科威特,452,144369,140035,891
哥斯达黎加,0,143685,95789,1773
亚美尼亚,407,142344,117649,2344
卡塔尔,125,139908,137276,239
黎巴嫩,1236,137112,90229,1099
危地马拉,198,125550,114315,4250
阿曼,229,125115,116506,1452
埃及,418,118432,103501,6771
斯洛伐克,552,117283,84850,1018
摩尔多瓦,808,116365,101244,2419
希腊,903,115471,23074,3003
埃塞俄比亚,555,113295,80831,1747
洪都拉斯,1063,111023,49456,2946
委内瑞拉,265,104442,99494,919
突尼斯,1011,104002,76441,3561
缅甸,1108,99155,77636,2110
巴勒斯坦,1940,98038,72773,828
波黑,739,94507,58625,2952
丹麦,1750,91131,71395,885
肯尼亚,396,88380,68929,1526
阿尔及利亚,750,88252,57146,2516
巴林,198,87930,86030,341
巴拉圭,707,87920,61948,1853
利比亚,517,87097,57380,1243
斯洛文尼亚,480,86285,63999,1796
立陶宛,1387,76036,30449,637
吉尔吉斯斯坦,422,75395,67400,1297
马来西亚,1600,74294,62306,384
爱尔兰,298,74246,23364,2099
乌兹别克斯坦,149,74053,71315,611
尼日利亚,318,69255,64774,1180
北马其顿,657,67968,43646,1924
新加坡,13,58273,58160,29
加纳,76,52274,51063,325
阿富汗,210,47516,37879,1900
阿尔巴尼亚,840,42988,21617,905
萨尔瓦多,413,40131,36525,1164
挪威,123,38323,17998,354
黑山,367,38246,26999,533
韩国,615,38161,29301,549
卢森堡,0,37017,28029,345
澳大利亚,7,27972,25643,908
芬兰,250,27881,18100,415
斯里兰卡,287,27877,20804,140
