country,new,all,cure,death
中国,16,94619,88168,4755
美国,225441,15820042,9226411,296698
印度,31521,9767371,9253306,141772
巴西,53453,6728452,5966118,178995
俄罗斯,25838,2518551,1989710,44220
法国,14716,2377913,178937,56752
英国,16627,1771545,3778,62663
意大利,12755,1770149,997895,61739
西班牙,4886,1725473,196958,47019
阿根廷,5303,1475222,1311488,40222
哥伦比亚,7523,1392133,1287597,38308
德国,25089,1254358,929272,20460
墨西哥,11974,1205229,889168,111655
波兰,12166,1088346,768241,21160
伊朗,10223,1072620,765639,51212
秘鲁,2709,976621,911113,36401
土耳其,31712,925342,447361,15531
乌克兰,12937,867991,469200,14702
南非,6709,828598,754658,22574
比利时,3071,597643,0,17603
印度尼西亚,6058,592900,487445,18171
荷兰,118,586643,7551,9923
伊拉克,1735,569873,499846,12501
智利,1244,564778,539171,15690
捷克,5857,556927,489759,9136
罗马尼亚,7365,532040,425816,12821
孟加拉,2159,484104,405966,6930
菲律宾,1379,444164,408942,8677
加拿大,6272,439142,355401,13009
巴基斯坦,3138,429280,374301,8603
摩洛哥,4096,388184,341685,6427
瑞士,5086,363654,283000,5710
沙特阿拉伯,159,359274,349624,6002
以色列,1247,350271,332089,2934
葡萄牙,4097,332073,254700,5192
奥地利,2932,311002,265815,4056
瑞典,7061,304793,4917,7296
匈牙利,3221,259588,76270,6280
约旦,3088,250219,202058,3206
尼泊尔,1056,244433,230537,1651
塞尔维亚,7804,241831,15913,2116
厄瓜多尔,476,199228,174188,13814
巴拿马,1811,182977,156870,3264
哈萨克斯坦,936,182657,154432,2546
阿联酋,1313,180150,161084,598
格鲁吉亚,4734,174383,145287,1614
保加利亚,3328,171493,72078,5283
日本,28,169429,140466,2376
克罗地亚,4520,159372,133255,2367
阿塞拜疆,4403,158555,96330,1755
白俄罗斯,1851,152453,129950,1230
多米尼加,531,150161,118008,2350
哥斯达黎加,1258,148688,107624,1864
玻利维亚,214,146060,125490,9004
科威特,304,145204,140989,905
亚美尼亚,1138,144066,120532,2393
黎巴嫩,1274,140409,94042,1156
卡塔尔,150,140353,137881,240
危地马拉,654,127127,115931,4311
阿曼,165,125490,117034,1461
斯洛伐克,2564,121796,89769,1084
摩尔多瓦,1766,120970,103973,2481
希腊,1675,119720,23074,3289
埃及,421,119702,104074,6832
埃塞俄比亚,568,114834,87244,1769
洪都拉斯,617,112792,50888,2961
突尼斯,1411,106856,81204,3717
委内瑞拉,468,105852,100952,933
缅甸,1427,103166,81715,2174
巴勒斯坦,1883,102992,76893,890
丹麦,2564,97895,74888,904
波黑,1296,97317,61322,3151
巴拉圭,725,90146,63891,1901
斯洛文尼亚,2160,90075,67437,1900
阿尔及利亚,598,90014,58146,2554
肯尼亚,561,89661,70194,1552
利比亚,536,88522,58578,1261
巴林,201,88495,86518,347
立陶宛,3130,80556,33708,704
马来西亚,959,76265,65124,393
吉尔吉斯斯坦,322,76012,68894,1306
爱尔兰,218,74900,23364,2102
乌兹别克斯坦,146,74352,71740,611
尼日利亚,474,70669,65242,1184
北马其顿,502,69954,46352,2023
新加坡,6,58291,58182,29
加纳,348,52622,51424,326
阿富汗,135,47851,38032,1919
