country,new,all,cure,death
美国,246996,17392618,10170735,314577
印度,24010,9956557,9489740,144451
巴西,70574,7040608,6239192,183735
俄罗斯,26074,2708940,2155842,47994
法国,17668,2465126,186004,59472
土耳其,29718,1928165,1691113,17121
英国,25289,1918736,4106,65618
意大利,17568,1888144,1175901,66537
西班牙,11078,1782566,196958,48596
阿根廷,6843,1517046,1347914,41365
哥伦比亚,11953,1456599,1336166,39560
德国,32195,1423830,1056477,24273
墨西哥,10297,1277499,945673,115769
波兰,12455,1159901,892650,23914
伊朗,7603,1131077,844430,52883
秘鲁,0,986130,924120,36754
乌克兰,11057,945218,555675,16314
南非,10008,883687,774585,23827
荷兰,102,650072,8152,10333
印度尼西亚,6725,636154,521984,19248
比利时,3636,615058,0,18278
捷克,7897,594148,518423,9882
伊拉克,1553,578916,513405,12636
智利,1402,576731,549852,15959
罗马尼亚,5991,571749,469499,13862
孟加拉,1632,495841,429351,7156
加拿大,6399,485576,397217,13815
菲律宾,1149,452988,419282,8833
巴基斯坦,2545,448522,396591,9080
摩洛哥,3351,406970,366835,6749
瑞士,5625,394453,311500,6379
以色列,1755,365042,341217,3034
沙特阿拉伯,322,360335,351192,6080
葡萄牙,4720,358296,283719,5815
瑞典,7556,348585,4917,7802
奥地利,2664,330343,291042,4764
匈牙利,2804,288567,83940,7381
塞尔维亚,5353,282601,15913,2482
约旦,2561,267585,230274,3465
尼泊尔,736,250916,238569,1743
厄瓜多尔,1105,203461,177951,13915
巴拿马,2960,199947,166600,3439
格鲁吉亚,3487,198387,167281,1922
哈萨克斯坦,947,188837,160889,2613
阿联酋,1278,188545,165749,626
日本,65,187769,155391,2623
阿塞拜疆,4077,187336,122859,2050
保加利亚,1959,186246,90510,6196
克罗地亚,3327,183045,157773,2870
白俄罗斯,1838,165897,143373,1291
多米尼加,1401,156585,121988,2372
哥斯达黎加,1167,155263,122947,1967
黎巴嫩,2056,150933,104207,1234
亚美尼亚,1098,150218,128694,2556
玻利维亚,498,148214,126950,9029
科威特,261,146971,142909,913
卡塔尔,145,141417,139042,242
斯洛伐克,3565,139088,101584,1309
危地马拉,746,130828,119288,4510
摩尔多瓦,1673,130329,112677,2650
希腊,1185,127557,23074,3870
阿曼,116,126835,118736,1480
埃及,544,123153,105719,6990
丹麦,2,120330,84331,975
埃塞俄比亚,464,118006,97969,1818
巴勒斯坦,2197,115606,90952,1048
洪都拉斯,374,115317,52945,3013
突尼斯,1306,114547,87884,3997
缅甸,1233,111900,90453,2346
委内瑞拉,237,108717,103492,970
波黑,902,103232,68245,3511
斯洛文尼亚,12,100401,77453,2190
立陶宛,3417,99869,43379,907
巴拉圭,856,96209,68658,2014
阿尔及利亚,442,93507,61700,2631
肯尼亚,394,92853,74403,1614
利比亚,560,92577,62720,1324
巴林,156,89600,87690,349
马来西亚,1295,87913,72733,429
吉尔吉斯斯坦,264,78415,71656,1321
爱尔兰,421,77197,23364,2140
北马其顿,865,75597,51493,2194
乌兹别克斯坦,142,75538,72810,612
尼日利亚,930,75062,66775,1200
新加坡,12,58353,58238,29
加纳,116,53386,52048,327
阿尔巴尼亚,637,50637,26381,1040
