country,new,all,cure,death
中国,21,94386,87978,4753
美国,198792,15369046,8982246,290443
印度,26567,9703770,9178946,140958
巴西,20371,6623911,5897526,177317
俄罗斯,25752,2492713,1963864,43674
法国,3411,2349059,175919,55613
意大利,13679,1742557,933132,60606
英国,14770,1742525,3747,61531
西班牙,6255,1715700,196958,46646
阿根廷,3199,1466309,1300696,39888
哥伦比亚,5997,1377100,1267595,37995
德国,7228,1201778,888701,19434
墨西哥,6399,1182249,873555,110074
波兰,4421,1067870,722446,20181
伊朗,10827,1051374,742955,50594
秘鲁,1224,973912,907654,36274
土耳其,32137,860432,436270,15103
乌克兰,11156,855054,454226,14413
南非,3313,817878,745750,22249
比利时,859,592615,33687,17386
印度尼西亚,5754,581550,479202,17867
荷兰,53,573750,7341,9786
伊拉克,1815,566015,495725,12460
智利,1760,562142,536267,15663
捷克,4237,551070,484781,9036
罗马尼亚,3660,517236,409121,12447
孟加拉,2198,479743,398623,6874
菲律宾,1565,441399,408702,8572
加拿大,7658,426572,344034,12796
巴基斯坦,2885,423179,370474,8487
摩洛哥,1531,381188,334269,6320
沙特阿拉伯,209,358922,349168,5977
瑞士,9809,354306,279900,5495
以色列,1670,347331,330458,2924
葡萄牙,2597,325071,245843,5041
奥地利,2263,305693,256811,3897
瑞典,0,278912,4917,7067
匈牙利,2219,256367,75281,6120
约旦,6556,244069,192033,3116
尼泊尔,1014,241995,227433,1614
塞尔维亚,6557,226209,15913,2005
厄瓜多尔,246,198244,174188,13780
哈萨克斯坦,688,180777,152379,2490
巴拿马,1511,179230,154330,3212
阿联酋,1148,177577,159711,594
格鲁吉亚,4673,169649,141392,1576
日本,1028,165429,136747,2308
保加利亚,2764,164185,65616,5010
克罗地亚,1886,152239,127882,2233
阿塞拜疆,3086,149765,90278,1675
多米尼加,685,149138,117402,2346
白俄罗斯,1796,148953,126084,1215
哥斯达黎加,2736,146421,102855,1825
玻利维亚,97,145657,124981,8997
科威特,230,144599,140341,897
亚美尼亚,584,142928,119147,2372
卡塔尔,178,140086,137494,239
黎巴嫩,984,138096,90229,1115
危地马拉,124,125674,114697,4274
阿曼,229,125115,116506,1452
