country,new,all,cure,death
美国,199875,17143779,10007853,311068
印度,26382,9932547,9456449,144096
巴西,42889,6970034,6206483,182799
俄罗斯,26074,2708940,2155842,47994
法国,13599,2447458,184780,59182
土耳其,32102,1898447,1661191,16881
英国,18547,1893436,4093,65006
意大利,14839,1870576,1141406,65857
西班牙,9452,1771488,196958,48401
阿根廷,6981,1510203,1344300,41204
哥伦比亚,10130,1444646,1328430,39356
德国,24130,1391086,1031721,23595
墨西哥,11228,1267202,938089,115099
波兰,12455,1159901,892650,23914
伊朗,7603,1131077,844430,52883
秘鲁,1157,986130,922314,36754
乌克兰,11057,945218,555675,16314
南非,7552,873679,764977,23661
荷兰,83,638801,8077,10254
印度尼西亚,6725,636154,521984,19248
比利时,2211,611422,33687,18178
捷克,7897,594148,516786,9882
伊拉克,1391,577363,511639,12614
智利,3410,575329,548190,15949
罗马尼亚,6171,565758,465050,13698
孟加拉,1632,495841,429351,7156
加拿大,6108,479064,391435,13685
菲律宾,1149,452988,419282,8833
巴基斯坦,2731,445977,388598,9010
摩洛哥,2793,403619,362911,6711
瑞士,5625,394453,311500,6295
以色列,2657,363287,340146,3030
沙特阿拉伯,142,360155,350993,6069
葡萄牙,4832,353576,280038,5733
瑞典,20931,341029,4917,7667
奥地利,2664,330343,291042,4764
匈牙利,2804,288567,83940,7381
塞尔维亚,5884,277248,15913,2433
约旦,5410,265024,226245,3437
尼泊尔,736,250916,238569,1743
厄瓜多尔,176,202356,177951,13896
格鲁吉亚,3487,198387,167281,1922
巴拿马,2368,196987,164855,3411
阿联酋,1278,188545,165749,626
哈萨克斯坦,930,187890,159985,2613
日本,2942,187653,155391,2606
阿塞拜疆,4077,187336,122859,2050
保加利亚,2743,184287,87935,6005
克罗地亚,3327,183045,157773,2870
白俄罗斯,1911,164059,141443,1282
多米尼加,613,155797,121323,2367
哥斯达黎加,927,154096,121031,1956
亚美尼亚,1098,150218,128694,2556
黎巴嫩,1264,148877,104207,1223
玻利维亚,371,147716,126720,9026
科威特,261,146710,142599,913
卡塔尔,311,141272,138919,241
斯洛伐克,3565,139088,101584,1309
危地马拉,677,130082,118793,4476
摩尔多瓦,1403,128656,111314,2625
阿曼,116,126835,118736,1480
希腊,1199,126372,23074,3785
埃及,523,122609,105450,6966
埃塞俄比亚,300,117542,96307,1813
丹麦,2,116636,82623,961
洪都拉斯,301,114943,52392,3001
巴勒斯坦,2307,113409,88967,1023
突尼斯,1483,113241,86801,3956
缅甸,1155,110667,89418,2319
委内瑞拉,355,108480,103271,965
波黑,869,102330,67649,3457
斯洛文尼亚,2108,100389,77453,2190
立陶宛,3417,99869,43379,907
巴拉圭,1130,95353,67953,1991
阿尔及利亚,468,93065,61307,2623
利比亚,560,92577,62720,1324
肯尼亚,567,92459,73979,1604
巴林,176,89444,87490,349
马来西亚,1295,87913,72733,429
吉尔吉斯斯坦,241,78151,71270,1317
