country,new,all,cure,death
中国,62,94160,87837,4753
美国,208790,14983425,8787738,287825
印度,36652,9608211,9058822,139700
巴西,43209,6577177,5864838,176628
俄罗斯,28450,2410462,1899474,42228
法国,12923,2334626,174992,55073
英国,15573,1710379,3650,61111
意大利,21052,1709991,896308,59514
西班牙,5554,1699145,196958,46252
阿根廷,5201,1459832,1288785,39632
哥伦比亚,9642,1362249,1249702,37633
德国,10242,1170095,852580,18839
墨西哥,11625,1168395,859643,109456
波兰,12427,1054273,687910,19861
伊朗,12151,1028986,719708,50016
秘鲁,3785,970860,903958,36195
乌克兰,14157,822985,429455,13877
南非,4645,810449,744298,22067
土耳其,31896,797893,427242,14705
比利时,2503,589942,0,17254
印度尼西亚,6027,569707,470449,17589
伊拉克,1898,562520,491657,12411
荷兰,155,559716,7266,9743
智利,1533,558668,533250,15592
捷克,1773,544179,476669,8815
罗马尼亚,8072,508345,399207,12186
孟加拉,1798,475789,393408,6807
菲律宾,1724,438069,399582,8526
巴基斯坦,3119,413191,352529,8303
加拿大,6354,412543,329676,12607
摩洛哥,4118,376738,327693,6184
沙特阿拉伯,190,358526,348562,5954
瑞士,0,344497,260600,5324
以色列,1725,343826,327749,2909
葡萄牙,6087,318640,240203,4876
奥地利,3444,300689,249441,3757
瑞典,0,278912,4917,7067
匈牙利,5525,243581,70396,5706
尼泊尔,1024,239885,224053,1577
约旦,6276,237513,182463,3010
塞尔维亚,6903,213843,15913,1891
厄瓜多尔,909,197391,169804,13756
哈萨克斯坦,966,179344,151134,2488
巴拿马,2300,175907,151247,3173
阿联酋,1214,175276,158498,589
日本,2483,160870,133287,2229
保加利亚,2037,160844,60673,4729
格鲁吉亚,5450,158154,129210,1462
多米尼加,975,147655,116329,2345
克罗地亚,4084,147454,120857,2102
玻利维亚,167,145492,124596,8992
白俄罗斯,1896,145279,122339,1198
科威特,247,144164,139610,889
哥斯达黎加,1180,143685,95789,1773
阿塞拜疆,4323,142323,85980,1593
亚美尼亚,1267,140959,116066,2309
卡塔尔,140,139783,137060,239
黎巴嫩,1478,134295,86019,1078
危地马拉,1299,125352,113870,4239
阿曼,0,124329,115866,1435
埃及,431,118014,103324,6750
摩尔多瓦,1728,115557,99606,2403
斯洛伐克,2070,115462,79956,981
希腊,1383,114568,23074,2902
埃塞俄比亚,649,112740,79579,1745
洪都拉斯,200,109960,49096,2941
委内瑞拉,329,103877,98879,913
突尼斯,1091,102991,76441,3526
缅甸,1527,98047,76382,2081
巴勒斯坦,1422,96098,71236,812
波黑,975,93768,58034,2922
丹麦,1,89382,70387,878
肯尼亚,735,87984,68532,1518
巴林,132,87732,85876,341
阿尔及利亚,772,87502,56617,2501
巴拉圭,714,87213,61283,1833
利比亚,0,85529,56048,1219
斯洛文尼亚,3426,84775,62600,1700
吉尔吉斯斯坦,401,74774,66538,1290
爱尔兰,457,73948,23364,2099
乌兹别克斯坦,159,73751,71002,611
立陶宛,2848,72430,30277,611
马来西亚,1123,71359,60204,380
尼日利亚,310,68937,64650,1180
北马其顿,981,67311,42872,1901
新加坡,13,58255,58158,29
加纳,429,52096,50924,325
阿富汗,235,47072,37393,1864
阿尔巴尼亚,1647,42148,21286,889
萨尔瓦多,0,39718,36286,1153
挪威,112,38073,17998,354
黑山,412,37879,26809,530
韩国,631,37546,29128,545
卢森堡,588,37017,28029,345
澳大利亚,7,27963,25639,908
斯里兰卡,1190,27228,20090,137
芬兰,460,27218,18100,415
喀麦隆,265,24752,23344,443
乌干达,290,22188,9117,206
科特迪瓦,29,21441,21090,132
拉脱维亚,794,20787,1866,253
苏丹,661,19196,10942,1290
赞比亚,41,17898,17168,364
马达加斯加,0,17513,16927,255
塞内加尔,100,16397,15731,337
莫桑比克,95,16133,14343,133
安哥拉,43,15536,8335,354
纳米比亚,351,14950,13908,152
爱沙尼亚,561,14500,8919,126
刚果（金）,132,13413,11857,342
几内亚,47,13233,12355,76
马尔代夫,16,13159,12264,47
塔吉克斯坦,81,12389,11796,87
塞浦路斯,369,12181,2057,57
博茨瓦纳,0,11531,8978,34
牙买加,152,11063,6866,261
佛得角,40,11036,10541,109
津巴布韦,70,10617,8844,291
马耳他,103,10423,8289,149
海地,23,9370,8146,233
毛里塔尼亚,178,9359,7835,184
加蓬,15,9254,9106,60
