country,new,all,cure,death
美国,187901,16737267,9724439,306459
印度,30254,9857029,9357464,143019
巴西,21825,6901952,6138349,181402
俄罗斯,27651,2629699,2086887,46404
法国,25357,2430612,182685,58015
英国,18538,1854490,4012,64267
意大利,17937,1843712,1093161,64520
西班牙,7053,1741439,196958,47624
阿根廷,3558,1498160,1335317,40766
哥伦比亚,8702,1425774,1314836,39053
德国,2390,1338491,976802,21935
墨西哥,12057,1241436,911965,113704
波兰,8976,1135676,858895,22864
伊朗,7451,1108269,812270,52196
秘鲁,0,980943,916335,36544
土耳其,32106,955766,452593,15751
乌克兰,9605,918444,520912,15691
南非,7999,860964,761011,23276
荷兰,53,623567,7872,10134
印度尼西亚,6189,617820,505836,18819
比利时,2807,605966,33687,17902
捷克,3657,579079,504666,9535
伊拉克,1012,574634,507446,12579
智利,2138,571919,544832,15886
罗马尼亚,4435,556335,457360,13385
孟加拉,1355,490533,420896,7052
加拿大,5916,464443,378653,13451
菲律宾,1069,449400,418687,8733
巴基斯坦,3369,438425,383000,8796
摩洛哥,2012,399609,356023,6624
瑞士,0,373831,291500,5985
沙特阿拉伯,139,359888,350549,6048
以色列,926,357176,337186,2999
葡萄牙,4044,348744,271322,5559
奥地利,2641,322463,281106,4473
瑞典,0,320098,4917,7514
匈牙利,4153,280400,80752,6965
塞尔维亚,10674,266432,15913,2331
约旦,2339,259614,218467,3365
尼泊尔,830,248423,235731,1698
厄瓜多尔,586,202110,177951,13875
巴拿马,2422,193007,162105,3356
格鲁吉亚,2720,189726,158183,1790
哈萨克斯坦,956,185513,156848,2552
阿联酋,1194,184949,163679,617
日本,2392,180599,149130,2480
保加利亚,497,179449,83720,5688
克罗地亚,3363,175886,148211,2640
阿塞拜疆,4451,175874,111918,1922
白俄罗斯,1961,160295,138464,1263
多米尼加,1107,154692,120481,2361
哥斯达黎加,0,150947,112622,1895
亚美尼亚,1013,148325,125169,2486
玻利维亚,333,147030,126092,9014
黎巴嫩,1275,146520,101334,1200
科威特,429,146218,142094,911
卡塔尔,134,140961,138490,240
斯洛伐克,5897,132984,97068,1175
危地马拉,741,129282,117923,4423
摩尔多瓦,2254,126518,108901,2572
阿曼,571,126240,118048,1471
希腊,692,124534,23074,3625
埃及,486,121575,104875,6920
