country,new,all,cure,death
美国,67578,35463059,29595282,628014
印度,43654,31484605,30663147,422022
巴西,48013,19797086,17742532,553179
法国,27781,6116711,411739,111923
俄罗斯,21870,6116249,5480150,153620
英国,25468,5797335,19522,129718
土耳其,22291,5660469,5438038,51124
阿根廷,15883,4891810,4529259,104822
哥伦比亚,9364,4757139,4545346,119801
西班牙,27149,4395602,3703911,81396
意大利,5693,4330739,4128568,128010
伊朗,33817,3792014,3310163,89782
德国,2002,3769552,3647560,91602
印度尼西亚,47791,3287727,2640676,88659
波兰,138,2882465,2653446,75252
墨西哥,17408,2771846,2171095,239079
南非,7733,2391223,2180494,70338
乌克兰,1267,2329044,2252718,55449
秘鲁,3479,2107873,2060255,196138
荷兰,61,1884109,28019,18098
捷克,253,1673017,1639698,30362
智利,827,1611917,1567236,35176
伊拉克,13515,1590528,1437759,18484
菲律宾,4247,1566667,1484714,27401
加拿大,714,1436199,1403323,26530
孟加拉,16230,1210982,1035884,20016
比利时,1333,1119030,0,25230
瑞典,641,1098795,0,14655
罗马尼亚,159,1082710,1047444,34274
马来西亚,17405,1061476,877812,8551
巴基斯坦,4119,1015827,935742,23133
葡萄牙,3452,960437,891687,17320
日本,32,893274,823745,15174
以色列,1363,867240,845805,6462
匈牙利,74,809362,746981,30025
约旦,2268,768382,749025,10000
塞尔维亚,332,720975,0,7108
瑞士,771,716038,317600,10902
尼泊尔,2634,688307,649072,9791
阿联酋,1527,676251,653675,1934
奥地利,552,657501,641880,10737
哈萨克斯坦,7249,609646,511309,5619
摩洛哥,9428,597876,550882,9665
突尼斯,3960,578962,491854,19027
黎巴嫩,1224,558369,536623,7897
泰国,16533,543361,26873,4397
沙特阿拉伯,3965,522108,502528,8200
希腊,2870,485015,93764,12902
厄瓜多尔,0,480720,443880,30797
玻利维亚,842,470024,403396,17716
巴拉圭,664,451158,416666,14820
白俄罗斯,950,442831,436903,3424
巴拿马,969,432523,412994,6791
保加利亚,216,424295,398388,18205
格鲁吉亚,3141,410830,377597,5751
哥斯达黎加,1467,403511,326649,4997
科威特,941,395479,380175,2303
斯洛伐克,82,392488,255300,12534
乌拉圭,183,380976,372721,5950
克罗地亚,198,363039,353748,8249
危地马拉,3575,358798,314439,10224
古巴,9323,358378,312169,2560
阿塞拜疆,750,341933,332393,5014
多米尼加,316,340814,312204,3953
巴勒斯坦,139,316328,311622,3601
丹麦,1,315223,301143,2548
委内瑞拉,1060,301979,285776,3524
斯里兰卡,1940,301832,271855,4258
爱尔兰,2415,296687,23364,5035
阿曼,518,295535,277632,3802
洪都拉斯,1240,291687,98410,7713
缅甸,4980,284099,197994,8210
埃及,31,284090,228624,16498
立陶宛,345,281629,268834,4412
埃塞俄比亚,233,279153,263066,4376
巴林,115,268846,266571,1383
摩尔多瓦,166,259018,251741,6250
斯洛文尼亚,84,258864,253563,4428
利比亚,3161,243470,188973,3453
